Threat ID,STRIDE Category,Component / Flow,Trust Boundary,Threat Scenario,Potential Impact,Likelihood,Severity,Mitigation,Residual Risk
TM-001,Spoofing,Authentication Service / DF2,TB1,An attacker uses stolen or reused customer credentials to impersonate a legitimate user,Unauthorized account access and exposure of customer data,Medium,High,MFA; rate limiting; breached-password detection; short-lived sessions,Medium
TM-002,Spoofing,Admin Portal / DF6,TB1,An attacker attempts to impersonate an administrator using compromised credentials or session tokens,Unauthorized privileged access and administrative actions,Low,Critical,MFA; phishing-resistant authentication; conditional access; short-lived admin sessions; privileged access monitoring,Low
TM-003,Spoofing,Application API / DF3,Internal application zone,A forged or stolen authentication token is presented to the API as a valid user identity,Unauthorized API access and account actions,Medium,High,Token signature validation; issuer/audience validation; expiration checks; token rotation,Low
TM-004,Tampering,Web Frontend / DF1,TB1,An attacker modifies request parameters or form data before submission to manipulate account actions,Unauthorized changes to account state or business transactions,Medium,High,Server-side validation; authorization checks; integrity controls; reject unexpected parameters,Low
TM-005,Tampering,Document Storage / DF5,TB2,A malicious or compromised client uploads altered or weaponized files that are later trusted by backend services,Malware delivery; document integrity loss; downstream compromise,Medium,High,File type validation; malware scanning; content disarm and reconstruction; object integrity checks; restricted execution,Low
TM-006,Tampering,Customer Database / DF4,TB2,An attacker exploits application access or compromised service credentials to modify customer records,Loss of data integrity; fraudulent account changes; regulatory impact,Low,Critical,Least-privilege database permissions; parameterized queries; database auditing; integrity monitoring; service identity protection,Low
TM-007,Repudiation,Application API / DF9,TB3,A user performs a sensitive account action but the system does not record sufficient identity and request context to prove who performed it,Disputed transactions; weak forensic evidence; inability to investigate incidents,Medium,High,Centralized audit logging; authenticated user and session identifiers; timestamps; request correlation IDs; protected log storage,Low
TM-008,Repudiation,Admin Portal / DF7,Application zone,An administrator performs a privileged action and later denies responsibility because administrative activity is not fully attributable,Loss of accountability; insider threat risk; audit and compliance failures,Low,Critical,Immutable privileged audit logs; unique administrator identities; MFA; command and action logging; SIEM alerting,Low
TM-009,Repudiation,Central Logging / SIEM / DF8-DF9,TB3,An attacker or compromised service alters or deletes logs to conceal malicious activity,Loss of forensic evidence; delayed detection; inability to reconstruct attack timeline,Low,Critical,Append-only or immutable log storage; restricted delete permissions; centralized collection; retention policies; monitoring for log gaps,Low
TM-010,Information Disclosure,Customer Database / DF4,TB2,An attacker gains unauthorized read access to customer records through excessive application permissions or compromised service credentials,Exposure of personal or sensitive customer information,Low,Critical,Least-privilege database access; encryption at rest; service identity protection; query monitoring; network restrictions,Low
TM-011,Information Disclosure,Document Storage / DF5,TB2,Private customer documents are exposed because storage objects or access policies are incorrectly configured,Disclosure of confidential documents and possible regulatory impact,Medium,Critical,Private-by-default storage; scoped access policies; signed short-lived URLs; encryption at rest; access logging,Low
TM-012,Information Disclosure,Authentication Service / DF2,TB1,Credentials or authentication tokens are exposed through insecure transport handling browser storage or application logging,Account takeover and unauthorized access,Medium,High,TLS; secure HttpOnly SameSite cookies; avoid logging credentials or tokens; short-lived tokens; secret redaction,Low
TM-013,Information Disclosure,Central Logging / SIEM / DF8-DF9,TB3,Sensitive customer data credentials or tokens are unintentionally written to centralized logs and become accessible to users with logging access,Secondary exposure of sensitive data through monitoring systems,Medium,High,Log minimization; structured redaction; role-based log access; retention controls; sensitive-data detection,Low
TM-014,Denial of Service,Web Frontend / DF1,TB1,An attacker sends a high volume of requests or oversized payloads to exhaust frontend resources and degrade availability,Customer portal slowdown or outage,High,High,Rate limiting; request size limits; autoscaling; CDN or reverse proxy protection; health monitoring,Medium
TM-015,Denial of Service,Authentication Service / DF2,TB1,Automated login attempts or authentication floods consume authentication resources and prevent legitimate users from signing in,Authentication outage and customer lockout,Medium,High,Rate limiting; progressive delays; bot detection; capacity controls; monitoring and alerting,Low
TM-016,Denial of Service,Application API / DF3,Application zone,An attacker triggers expensive API operations repeatedly to consume CPU memory or downstream database capacity,Application degradation; increased infrastructure cost; cascading service failure,Medium,High,Per-user quotas; request throttling; query optimization; circuit breakers; resource monitoring,Low
TM-017,Denial of Service,Document Storage / DF5,TB2,An attacker abuses document upload functionality with excessive file size or upload volume to consume storage or processing capacity,Storage exhaustion; increased cost; degraded document services,Medium,High,File size limits; upload quotas; asynchronous scanning; storage monitoring; lifecycle controls,Low
TM-018,Elevation of Privilege,Application API / DF3,Application zone,A normal authenticated user exploits missing or inconsistent authorization checks to access administrative or higher-privilege API functions,Unauthorized privileged actions and access to restricted data,Medium,Critical,Centralized authorization checks; role-based access control; deny-by-default permissions; authorization testing; audit logging,Low
TM-019,Elevation of Privilege,Admin Portal / DF7,Application zone,A compromised administrator account or vulnerable admin function is used to obtain broader privileges than the assigned administrative role permits,Full administrative compromise; cross-tenant or system-wide impact,Low,Critical,Least-privilege admin roles; privileged access management; separation of duties; step-up authentication; privileged action monitoring,Low
TM-020,Elevation of Privilege,Application API to Customer Database / DF4,TB2,A compromised application service identity has excessive database permissions that allow an attacker to escalate from application access to unrestricted database control,Database takeover; unauthorized modification or extraction of customer data,Low,Critical,Scoped service identities; separate read/write roles; deny administrative database privileges; credential rotation; database auditing,Low
TM-021,Elevation of Privilege,Application API to Document Storage / DF5,TB2,A compromised backend service identity has broad storage permissions that allow access beyond the documents required by the application,Unauthorized access to or modification of unrelated customer documents,Medium,High,Scoped storage identities; object-level authorization; separate read/write permissions; short-lived credentials; access monitoring,Low
